"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Integral",0.3380860247495,0.279520104603823,0.309494860224894,0.402187208016526,0.419875317913697,0.280343114824714,0.259184899715594,0.253105746860713,0.265568414400149,0.304732184758785,0.320308349450068,0.305855987931394,0.284850457303143,0.276892771115342,0.360156758320504,0.367492596587876,0.240624377987462,0.32280231699751,0.336321701212969,0.323630013638727
"1st Derivative",0.482168018909044,0.487742856195873,0.45283477929979,0.461722111367641,0.444015012670101,0.515269282743324,0.514249168433144,0.464430938346424,0.499910406712742,0.450216920830539,0.506360243376817,0.474620902830449,0.413550881033915,0.490481492367015,0.49565770042888,0.419123078732022,0.508325954004322,0.485758507273266,0.504750892478044,0.467175051009632
"1st Derivative
Prime",0.432432127692126,0.439060188961604,0.399731214194386,0.415107024030231,0.386241661371693,0.467230148594912,0.458260285891864,0.396952291177971,0.436795941772451,0.376319586762822,0.432267312542343,0.433507533432996,0.354029474582628,0.436083325234168,0.442168211256583,0.368966331691881,0.444369175117866,0.442266404216416,0.444830547054947,0.406898679974984
"1st Derivative
Ascending",0.47489019131971,0.503413192146964,0.46835408996828,0.465203739433824,0.457214593371685,0.495973078273003,0.507859384397213,0.490452848945796,0.518696810295007,0.493468039984714,0.518210595057723,0.466727115987652,0.439826385263103,0.500580253248452,0.509902219345391,0.414770279007213,0.534240532366679,0.498287874446484,0.483140669860672,0.495085394575165
"1st Derivative
Descending",0.344885579312006,0.330583277541078,0.307216973676147,0.327538594729161,0.297391522541539,0.382699383044878,0.356243093015265,0.295654962693586,0.339679152013055,0.258855095225748,0.348401044196506,0.352438535144465,0.251260861921322,0.339705354872762,0.336051142370673,0.294160842373558,0.328489331954892,0.336860607881812,0.37338761267577,0.288282433564203
"1st Derivative
End",0.461579401034931,0.486190429073991,0.44334605298925,0.450719562612128,0.439521187007343,0.491520052521783,0.494468051328354,0.451991890141275,0.488798220777974,0.45688542763265,0.4936359091601,0.461155250691995,0.412435159389781,0.485636837337306,0.487371361846166,0.396739016989934,0.503975538558257,0.475261063820559,0.467046482367554,0.467934644563105
"2nd Derivative",-0.00815764668567378,0.0475504807871716,0.0625988591266806,0.0359503820438893,-0.00682683969412812,0.0498207515122638,0.0411953263560077,0.0739760433551347,0.078441523931119,0.050023950541471,-0.0305026038024625,0.0161762394980198,0.0853251691862554,0.0486120364980814,0.00600866526145651,-0.00778159634019406,0.0767994847114335,0.117096415850901,0.0263317334858368,0.083938262726888
"2nd Derivative
Prime",0.0798534561083336,0.0253338793570241,0.0131239661815689,0.0445346178621124,0.0841874262288507,0.0301518339935846,0.030865646818241,-0.0215191453357049,0.00453456360357455,-0.0046980556525909,0.0934757828781393,0.0541954165384231,-0.0149505229859617,0.0148098291989275,0.0669803737920776,0.0459801859968144,0.0118848273956623,-0.0245203883579216,0.036321033118527,0.00700811114420497
"2nd Derivative
Ascending",0.119565093116008,0.0404897778002177,0.0715444465336813,0.0589341106238297,0.122923082361035,-0.00661397702161888,0.0303805032479023,0.0594649632983919,0.0681395487442545,-0.013962341014149,0.0993871668509251,0.0159696191827149,0.0477675212424445,0.0594582675794701,0.111649267920766,0.0920347347502681,0.0493165496102612,0.00874520212796799,0.0204835294684027,0.0559058267340926
"2nd Derivative
Descending",0.0741641018441973,0.0886787796464767,0.125369900709228,0.0849870472517064,0.0784444806928413,0.0567897766045514,0.0719132216344648,0.13141729736975,0.139613927476137,0.052302006378464,0.0263782890839618,0.0312750828348337,0.138119924575644,0.102107549497426,0.0817862048398404,0.0587131831020235,0.126820783482118,0.151235430592218,0.0466393549786542,0.142418038911586
"2nd Derivative
End",0.0780424960249658,0.0133241438356827,0.00880717307771302,0.0266881144135367,0.102489553744746,-0.000322649123624625,0.0235829672302489,-0.0039824379453611,0.00788493374397733,0.00505484674957911,0.0880183523124459,0.0224381325689349,-0.0267957182395525,0.00296616131061991,0.110552746549974,0.0603974758544676,0.00511660751935063,-0.0439873169890151,0.0170155734453053,0.0213856654436841
