"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Integral",0.922028687762405,0.947422675156421,0.951998920321444,0.911417494979533,0.960880236935433,0.977058761953389,0.953841923445001,0.971951820761339,0.981120343955862,0.918160548188008,0.921722812868766,0.928122461626852,0.974078115733624,0.967353401337986,0.923785010231909,0.910636863843305,0.963539625858673,0.954274657218001,0.973197353120619,0.97887700936552
"1st Derivative",0.857774516113914,0.860635634061521,0.893091069071479,0.880452519749565,0.941924572552661,0.875186508521809,0.845876973246912,0.889255024829128,0.880468280182879,0.863359545088382,0.838653440615823,0.8555845113443,0.92729302705007,0.876880792732698,0.857458663443878,0.889120092712968,0.853708072162562,0.880480563617309,0.892491664093859,0.916734529015264
"1st Derivative
Prime",0.882882191531948,0.885879378280219,0.917993528790869,0.903124744241028,0.969394044563807,0.90270271125449,0.876330784913613,0.921652242157905,0.914065326923767,0.896639978320521,0.877443326642622,0.876097645250313,0.952850504395861,0.905652818256802,0.885668052285735,0.909393365177415,0.887901028709037,0.904039216070091,0.925537968328883,0.946906895722909
"1st Derivative
Ascending",0.861871137212923,0.85184243253609,0.884802474238861,0.878712103615678,0.935350116912968,0.887346253802316,0.848861758078228,0.87496227048802,0.869732008129841,0.840115051425713,0.831038059385937,0.859239445332792,0.914294983000248,0.871255727918269,0.849164704725964,0.892531935389319,0.838500422182131,0.873851250425774,0.904174674653294,0.899675463647427
"1st Derivative
Descending",0.919063943032116,0.930463058741659,0.95275175484852,0.937889751460656,1.00285968186312,0.943484320657369,0.920687867538349,0.959205063599697,0.956207846793322,0.935667131689895,0.913376486097693,0.910579220392998,0.986480353144799,0.946262591840308,0.930374780378053,0.934586622762715,0.935923243979065,0.948556479763468,0.960220146673451,0.992729908891168
"1st Derivative
End",0.86859312015715,0.861607450257811,0.897830713338673,0.886260666911226,0.944876232889011,0.889765212776997,0.856971434773823,0.895923820806079,0.886645629474227,0.860190101773873,0.845625400438958,0.861680338162153,0.927953422642382,0.880196737885649,0.861864806049358,0.899140444037205,0.856196711263957,0.886873976930912,0.913128883205532,0.915799551904926
"2nd Derivative",0.981034720795882,0.984687478897021,0.999341906468404,0.992289171541959,1.05139025005607,1.01837638738828,0.984152571820252,1.00162091253694,1.0142322363013,0.9626138400817,0.976705504402536,0.973121362801581,1.0136359305316,1.00469736824646,0.988568329323798,0.979015469594148,0.988713083110296,1.00472475395297,1.03237841922031,1.03155608896699
"2nd Derivative
Prime",0.977892581866385,0.985489442731912,1.00106430089791,0.99209319515023,1.04844005392207,1.0189877253948,0.984531515267195,1.00521644468923,1.01680271191654,0.964850245858179,0.972379118798323,0.971778452552134,1.01732824834431,1.00586690014264,0.986287832282032,0.976773352768212,0.99103823873895,1.00928757671099,1.03184977976179,1.03430609046555
"2nd Derivative
Ascending",0.97488233750596,0.985214951542218,0.998620499556252,0.99125949101248,1.04523893624016,1.02154350224503,0.984927803153557,1.00207705221683,1.01417762199098,0.966750621623755,0.970612489713146,0.973588938800204,1.015061509137,1.00409535390281,0.983220924567728,0.97428973237549,0.989695108293462,1.00930780037399,1.03300881419765,1.03225511936399
"2nd Derivative
Descending",0.977222952499117,0.981921602315154,0.993941175373126,0.989379553082911,1.04685562317779,1.01842040805753,0.982700924621586,0.996038698622857,1.00790414559122,0.963219407434553,0.976209339891384,0.974227469645209,1.00779731466036,1.0006501172573,0.984345254705191,0.976569043229699,0.983754628257903,0.999228654436892,1.0327794079361,1.02545089911813
