"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1st Derivative",0.875715582451525,0.879250232061366,0.900774628211216,0.899391578157391,0.928743156408439,0.891734329844172,0.859331974013551,0.899706766034309,0.878727934359882,0.869051386892695,0.848313686143805,0.854641579483882,0.931967417358254,0.913270641138604,0.869551301342209,0.900323566883048,0.861292671028358,0.896282024710438,0.893713676860188,0.910987045286553
"1st Derivative
Prime",0.900282363074352,0.905969836347618,0.921656763683351,0.920721515544671,0.951892532752547,0.919148463269122,0.89029122883434,0.926246363462968,0.914763983811975,0.897121548769078,0.880815359888432,0.874086231730337,0.955888635105959,0.938621988333603,0.896468389289563,0.913237863367944,0.893277757860072,0.922078662456406,0.928165518268699,0.943122690629536
"1st Derivative
Ascending",0.881196679818234,0.874797513710404,0.904213047490292,0.907716726475689,0.927227429209389,0.903391387968323,0.869108591060574,0.881514092680908,0.86679920003795,0.86380267341238,0.844158624972411,0.864858528873135,0.921786791979405,0.909992689449031,0.877441148623229,0.905639944793268,0.850296524279122,0.894587592060228,0.905587587024336,0.903973967838609
"1st Derivative
Descending",0.924939750368157,0.941455890066624,0.945430982362559,0.945708046839073,0.986066376247593,0.960371980297688,0.920614564138812,0.96668842317053,0.954455539349265,0.91896741926048,0.907576060371631,0.903464964200998,0.987345331121096,0.973402931992224,0.9271221206746,0.937574673952112,0.937957518980657,0.957170679325429,0.946824494003003,0.984979995266439
"1st Derivative
End",0.886282509823328,0.88621733673379,0.91305480662284,0.914533861435752,0.933944338388027,0.909280670673036,0.875973704509412,0.898807795375443,0.882086530853509,0.88050742789452,0.860004825096307,0.866341703435887,0.934623133892502,0.917938779289171,0.888706580448979,0.906636469890269,0.866407189875801,0.905010189089047,0.914947077399471,0.91776205127846
"2nd Derivative",0.97929053656587,0.995013908539576,0.995741411412694,1.00514979333763,1.03690283938625,1.03661747394705,0.983794492671518,1.00093165431994,1.01099937034181,0.951528523697234,0.96062715853864,0.970417083437673,1.01594057590457,1.02693298547635,0.993960864570484,0.97674512286434,0.991573892579726,1.01549488343423,1.00962557010551,1.03615543935234
"2nd Derivative
Prime",0.974548487724297,0.995183950322591,0.995829919967395,1.00361387848687,1.03465097586826,1.03772555733987,0.982206700450345,1.00573448245106,1.01271447100082,0.95105144876356,0.957540295953432,0.967617329110067,1.01811986766856,1.02826144572743,0.99103981078259,0.975584323453159,0.993775840148638,1.01610510182277,1.00712158249962,1.03815166533694
"2nd Derivative
Ascending",0.971835960546324,0.995125259691624,0.993357709898316,1.00245014242912,1.03122521077978,1.03747810543325,0.983616504253059,1.00271435887322,1.01192574754945,0.951143467883349,0.955530836461205,0.967935699901295,1.01555563236105,1.02656686208266,0.988239228385165,0.973442181341939,0.993010562497072,1.01455330717393,1.00854424111517,1.03734017367985
"2nd Derivative
Descending",0.977901213405358,0.993475711596985,0.991711030059908,1.00363330567524,1.0322603077853,1.03371030458608,0.985105832548975,0.994684555501713,1.00620474680794,0.952746245016466,0.960552290955716,0.971036439927232,1.01104414174038,1.02284661421581,0.992072525357252,0.974381904656311,0.987254073434303,1.01084789914124,1.01224005618661,1.03102291555535
"2nd Derivative
End",0.97540210492156,0.995470440252234,0.996277796268528,1.00427711430094,1.03510987994329,1.03853184251417,0.98293182269604,1.00460526927528,1.01299128085047,0.950551622396797,0.957738513748466,0.968658156235207,1.01772994972055,1.02866016709213,0.991148279531785,0.97582942051632,0.993865450925711,1.01671976080299,1.00794906546772,1.03819844914806
