"word.subject","word.plot_names","word.question_type","word.score","word.willingness_to_pay","word.sentiment_score"
3,"positive_change_partial","satisfaction",56,10.3926619287701,0.198509931564331
3,"negative_change_full","satisfaction",50,10.3926619287701,0.198509931564331
3,"negative_change_partial","satisfaction",79,10.7981270368783,0.198509931564331
3,"linear_rise_sharp_fall","satisfaction",38,10.3926619287701,-0.75335319340229
3,"linear_rise_sharp_fall_exp_rise","satisfaction",70,10.7981270368783,0.569373607635498
4,"linear_rise","satisfaction",68,10.7981270368783,0.546980261802673
4,"linear_fall","satisfaction",13,9.51719319141624,-0.795732393860817
4,"linear_low","satisfaction",0,NA,-0.766147941350937
4,"linear_middle","satisfaction",50,10.6158054800843,-0.738604694604874
4,"linear_high","satisfaction",100,10.9034875525361,0.767621636390686
4,"exp_rise_convex","satisfaction",68,10.7981270368783,0.489366769790649
4,"exp_fall_convex","satisfaction",21,9.51719319141624,-0.795844867825508
