"","max","min","number_peaks","number_valleys","number_extrema","integral","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des"
"sin_cut_fr_partial",0.229086531505281,-0.189753992812813,-0.18975399281297,-0.181377157471707,-0.181377157471707,4.42549759007961,-0.486095861897213,-0.531543086882574,-0.241197008534755,-0.508738313446489,-0.197162539540076,-0.19829872016471,-0.191040068206015,-0.197728600828808,-0.147657565732186,-0.130798445463067,-0.172510705564838,-0.154376746210123,-0.18870158213595,-0.188280104129222,-0.189322910631767,-0.188869561647899
"sin_cut_rf_full",-0.0306768851163973,-0.265293628852951,-0.26529362885388,-0.26529362885388,-0.26529362885388,4.45437306739493,-0.0306967583766402,0.0707807225479398,-0.177592199751517,-0.059748969859693,-0.259428707091949,-0.256891770068835,-0.263101093126321,-0.260155012379025,-0.265464206751856,-0.268167241195002,-0.267695660020975,-0.263104820059255,-0.26529789330133,-0.265365469162408,-0.265353679633058,-0.265238908634015
"sin_cut_rf_partial",-0.093344422460233,-0.161539882566909,-0.228371834111151,-0.22973574736015,-0.228371834111151,4.47446368354654,-0.181485473239769,-0.174085772784579,-0.221359814462698,-0.177798837607125,-0.228529490507141,-0.228344497995761,-0.229526349037714,-0.228437324616325,-0.236589872133046,-0.239334867893946,-0.232543293047265,-0.235495857639155,-0.229907100479473,-0.229975725373495,-0.229805936002328,-0.229879750117125
"sin_cut_rfr_full",-0.0422317072855539,-0.2365834120599,-0.234639895013871,-0.236583412061632,-0.234639895013871,4.47018750068795,-0.142090343131468,-0.104900627304497,-0.231044779127177,-0.124005708833383,-0.234221085338378,-0.233291342442703,-0.23644494623827,-0.233768969480926,-0.248094361383352,-0.262463367173879,-0.244346234020028,-0.243209276755386,-0.236871185794675,-0.237230410939438,-0.236777482610592,-0.236749058678976
"sin_cut_rfr_partial",-0.0441419199917066,-0.183421487375807,-0.205619182054496,-0.207250265509676,-0.205619182054496,4.4720597703605,-0.26497594179607,-0.329105956272287,-0.254945722002344,-0.231711904375,-0.208693407416836,-0.210296657778741,-0.208442651921993,-0.207861806481309,-0.220916116783315,-0.227206062341385,-0.21131391140968,-0.220268933701721,-0.207591911791517,-0.207749160430469,-0.207351856657176,-0.207575732214477
"sin_cut_frf_full",0.0905265381082265,-0.204938931887924,-0.204938931887924,-0.201984277187936,-0.201984277187936,4.45815590950365,-0.348593133713658,-0.405131237552764,-0.213359103890094,-0.376086512167922,-0.208530286933567,-0.209943739529545,-0.205149436187978,-0.209217621394924,-0.187439275502646,-0.16559462508291,-0.193137410305713,-0.194865882988538,-0.204501440478292,-0.203955324217799,-0.204643893848369,-0.204687105665439
"sin_cut_frf_partial",0.0891874080260542,-0.267309125145711,-0.267309125145859,-0.263134244307221,-0.263134244307221,4.45516808577837,-0.119555912972655,0.0445896847084328,-0.145229015284591,-0.204697719790622,-0.263615294841528,-0.259511654899501,-0.264257122399327,-0.265743840011978,-0.232330350488567,-0.216230761529426,-0.256907917685226,-0.233986864284877,-0.266434655779426,-0.266032166055448,-0.267049094959343,-0.266476068624334
"sin_cut_frfr",0.000569326164219888,-0.248235311870556,-0.245747265490208,-0.245747265490208,-0.243259219109858,4.46427813480729,-0.160464459209237,0.0200062524544193,-0.19248000741744,-0.194277050497025,-0.246041040554025,-0.241529272762433,-0.24684142925923,-0.246886355336219,-0.243252015464824,-0.247216061920074,-0.253972615112443,-0.236268888121506,-0.248110729460414,-0.248209830621795,-0.248378744451605,-0.247936151276831
"sin_cut_rfrf",0.0188364077959861,-0.202808855743652,-0.200592403108456,-0.200592403108456,-0.198375950473058,4.46490355925058,-0.280998691443372,-0.441769321620637,-0.252477942489403,-0.250877063622703,-0.204763601636342,-0.208782867390774,-0.204050582912493,-0.204010560940826,-0.20724817831384,-0.203716844942417,-0.197697833300307,-0.213469031399884,-0.202919838808104,-0.202831555473818,-0.202681080182766,-0.203075360135255
"logistic_cut_rise",1.52954994371285,-0.772651808218489,-0.772651808218489,-0.772651808218489,-0.772651808218489,2.41895695007752,1.52960725580756,1.52981628983256,0.378477721421881,0.954042492173703,-0.715095331617838,-0.715090105767213,-0.74387356997748,-0.729484450708684,0.378477723794536,0.378686748329778,-0.197087044584632,0.090695343163934,-0.743873569918163,-0.743868344304782,-0.758262689127643,-0.751068129433928
"logistic_cut_fall",-0.0882875290896522,-0.147836137923406,-0.20738771161939,-0.20738771161939,-0.20738771161939,4.47406563388452,-0.266937802884258,-0.266943209745485,-0.237162757190453,-0.252050280129412,-0.208876463901011,-0.208876599072542,-0.208132087758666,-0.20850427583214,-0.237162757251824,-0.237168163867589,-0.222275234374236,-0.229718995905086,-0.2081320877602,-0.208132222925595,-0.207759899688261,-0.207945993726532
