"X","first_derivative","equation","number_peaks","number_valleys","number_extrema","min","max","integral","end_value","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_sum_weight_end","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d1_avg_weight_end","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_sum_weight_end","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des","d2_avg_weight_end","willing","word","genre","subject","movie_choice","word_tag"
133,"[1.3210698886841723e-14, -7.472822980011524e-12, 1.7833786089623407e-09, -2.286762615722274e-07, 1.6833391282633826e-05, -0.0007073796170361788, 0.015773347358206537, -0.15291814856904185, 0.34633767534545395, -0.07874281447263855]","[1.3210698886841723e-15, -8.303136644457248e-13, 2.229223261202926e-10, -3.266803736746106e-08, 2.8055652137723045e-06, -0.00014147592340723578, 0.003943336839551634, -0.05097271618968061, 0.17316883767272698, -0.07874281447263855, 49.47930903476996]",3,4,7,30.6370785165728,91.6024757231718,5700.33528500219,87.2330516170864,37.7537425823164,50.9574930326239,29.5923663627181,17.5998118651775,46.0316767480134,0.419486028692405,0.566194367029154,0.328804070696867,0.195553465168638,0.511463074977927,0.166848156602992,3.07652750470112,-0.553328389670494,0.761888585424234,-0.992142155781913,0.0018538684066999,0.0341836389411235,-0.006148093218561,0.0084654287269359,-0.0110238017309101,80,"Inspiring","Biography",134,"Shazam! Fury of the Gods","NOUN"
133,"[2.2683121736070385e-14, -1.1864787072147238e-11, 2.516393106539442e-09, -2.850928099914561e-07, 1.8904860521905605e-05, -0.000751570708164969, 0.017648713417372796, -0.23365404647193436, 1.592032323438463, -4.355963094830616]","[2.2683121736070385e-15, -1.3183096746830265e-12, 3.1454913831743027e-10, -4.072754428449373e-08, 3.1508100869842675e-06, -0.0001503141416329938, 0.004412178354343199, -0.07788468215731145, 0.7960161617192315, -4.355963094830616, 53.8689107747031]",2,2,4,40.1152491240603,46.0613435378156,4791.81237767005,90.3986079453311,36.529697170628,38.7384964921504,41.7404236463182,3.92169781696679,72.4309175909231,0.405885524118089,0.430427738801671,0.463782484959091,0.0435744201885199,0.804787973232479,-0.463650580571425,-0.420175438648894,-4.12990119000513,3.55033796429085,-7.11171782983764,-0.0051516731174602,-0.0046686159849877,-0.045887791000057,0.0394481996032317,-0.0790190869981961,75,"Suspenseful","Drama",134,"Shazam! Fury of the Gods","ADJ"
133,"[1.8227649699583307e-14, -7.148364564174673e-12, 1.1704870038029947e-09, -1.0580424328286682e-07, 5.978245552003909e-06, -0.00023054135503041174, 0.006333517520109764, -0.11512950115553308, 1.060462948081221, -1.4059299075164868]","[1.8227649699583307e-15, -7.942627293527415e-13, 1.4631087547537434e-10, -1.5114891897552403e-08, 9.96374258667318e-07, -4.610827100608235e-05, 0.001583379380027441, -0.038376500385177696, 0.5302314740406106, -1.4059299075164868, 50.6344088262774]",2,2,4,49.5947466500209,99.8976726015807,7947.61732552,99.4103173477647,48.7759085214873,59.1135122007475,17.3389251675072,43.6309604843519,49.9845774668679,0.541954539127637,0.656816802230528,0.192654724083414,0.484788449826132,0.55538419407631,0.867980948005751,-0.122088979170517,-0.481401827445866,1.56637801245305,0.601933246397081,0.0096442327556194,-0.0013565442130057,-0.0053489091938429,0.0174042001383673,0.0066881471821897,90,"Comical","Fantasy",134,"Shazam! Fury of the Gods","NOUN"
133,"[-2.504439571449627e-13, 9.590544277042237e-11, -1.5194348072536463e-08, 1.28658666566237e-06, -6.282264548655445e-05, 0.001783161750452537, -0.02834755845517402, 0.23265656426686834, -0.8508589250309463, 0.9891438267732362]","[-2.5044395714496273e-14, 1.0656160307824709e-11, -1.899293509067058e-09, 1.837980950946243e-07, -1.0470440914425743e-05, 0.00035663235009050743, -0.007086889613793505, 0.07755218808895611, -0.42542946251547314, 0.9891438267732362, 50.215558263053694]",5,4,9,46.0957007523393,59.362885546608,4801.03915630042,55.6384546705793,5.42289640752556,7.77483442232151,3.13506933556194,3.64355117384501,7.69829132599835,0.0602544045280617,0.0863870491369057,0.0348341037284659,0.0404839019316112,0.0855365702888706,-7.3166203309947,-6.13788498104663,-6.64403492897517,-2.5017404847682,-14.7522871565439,-0.0812957814554966,-0.0681987220116292,-0.0738226103219463,-0.0277971164974245,-0.163914301739376,65,"Engaging","Horror",134,"Shazam! Fury of the Gods","VERB"
133,"[-5.553495864679936e-14, 1.795247803271506e-11, -2.163671036195831e-09, 1.0427810753133892e-07, 6.605274667096216e-07, -0.0002927328637393475, 0.013029018761670817, -0.2569229718900491, 2.1900777247877756, -4.5439222430481045]","[-5.5534958646799354e-15, 1.9947197814127844e-12, -2.704588795244789e-10, 1.4896872504476988e-08, 1.1008791111827027e-07, -5.8546572747869495e-05, 0.003257254690417704, -0.08564099063001636, 1.0950388623938878, -4.5439222430481045, 53.143492005623266]",2,2,4,16.6622438731746,70.3728092173202,5280.41472279499,16.6620837018365,-36.4814083037868,-34.4023278628633,-47.1598477100344,1.55808733030088,-83.7468917057694,-0.405348981153187,-0.382248087365147,-0.523998307889271,0.0173120814477876,-0.930521018952993,2.42834750511284,1.9148026419579,-0.646897078696012,3.68233146008706,1.57515461492164,0.0269816389456982,0.0212755849106433,-0.0071877453188445,0.0409147940009673,0.0175017179435738,35,"Dull","SciFi",134,"Shazam! Fury of the Gods","ADJ"
134,"[4.3574781725765863e-13, -1.9907522527509298e-10, 3.8226193893597677e-08, -4.01116978394486e-06, 0.0002503947515448085, -0.009487226907130478, 0.2133033531546358, -2.6553485044554566, 15.837210358572161, -32.35578455966367]","[4.357478172576586e-14, -2.2119469475010332e-11, 4.7782742366997096e-09, -5.730242548492658e-07, 4.1732458590801414e-05, -0.0018974453814260956, 0.05332583828865895, -0.8851161681518188, 7.9186051792860805, -32.35578455966367, 67.22778150473519]",3,3,6,15.3182751161924,76.9359553573737,3705.37963077872,23.0983341133666,-44.1294473913686,-34.7168415841455,-25.7855433536981,-29.3762658855126,-97.7630437519979,-0.490327193237428,-0.385742684268284,-0.286506037263312,-0.326402954283474,-1.08625604168887,25.1685769876408,28.6326189730016,0.831107457577417,30.6296137769736,18.4396677557927,0.279650855418231,0.318140210811129,0.0092345273064157,0.340329041966373,0.204885197286586,10,"Exciting","Action",135,"Dungeons and Dragons","ADJ"
134,"[4.508845051796802e-13, -1.7774962773668163e-10, 2.92635338767008e-08, -2.6048783147031163e-06, 0.0001354306182506447, -0.004131931979850833, 0.06984537890366696, -0.5485876651440798, 0.7368955184146992, 7.9970802385305655]","[4.508845051796802e-14, -1.974995863740907e-11, 3.6579417345876e-09, -3.721254735290166e-07, 2.2571769708440784e-05, -0.0008263863959701666, 0.01746134472591674, -0.18286255504802656, 0.3684477592073496, 7.9970802385305655, 43.66614639273585]",3,3,6,69.134087345108,95.0310004008966,7410.80968268131,106.805701159365,63.1395547666295,69.3370689817549,36.6700407649829,42.254402693304,100.485799461053,0.701550608518106,0.770411877575054,0.407444897388699,0.469493363258934,1.11650888290059,2.89159869611257,2.02404255645906,8.80494078945061,-5.1904424193099,13.3832767649291,0.0321288744012507,0.022489361738434,0.0978326754383401,-0.0576715824367766,0.148703075165878,100,"Exciting","Adventure",135,"Dungeons and Dragons","ADJ"
134,"[-1.3629153695850497e-13, 6.085962663544554e-11, -1.1017284574023897e-08, 1.0498794639369504e-06, -5.714439948362178e-05, 0.0018077507268921262, -0.03273217194399387, 0.3331547610332292, -2.0071026374344725, 7.351588559700886]","[-1.3629153695850497e-14, 6.762180737271726e-12, -1.377160571752987e-09, 1.4998278056242148e-07, -9.52406658060363e-06, 0.00036155014537842526, -0.008183042985998467, 0.11105158701107641, -1.0035513187172362, 7.351588559700886, 51.30257206033041]",3,3,6,52.6885785587762,88.1627899671869,6837.60816660395,82.6943415047809,31.3917694444505,30.130262358544,12.4566649813126,26.7830468242505,50.9777299944751,0.348797438271672,0.334780692872711,0.138407388681251,0.297589409158339,0.566419222160835,5.01093614813439,5.87932192154779,10.2517020449607,-3.98803185979267,14.4015115944515,0.0556770683126043,0.0653257991283088,0.113907800499563,-0.0443114651088074,0.160016795493906,65,"Fun","Animation",135,"Dungeons and Dragons","NOUN"
134,"[-3.943261861635801e-14, 2.4645048704763867e-11, -5.5786801102655435e-09, 6.320442843806975e-07, -3.977062381221313e-05, 0.0014143605756997762, -0.026953709955085885, 0.22845225929613472, -0.24942611399131664, -3.869502793786148]","[-3.9432618616358015e-15, 2.738338744973763e-12, -6.973350137831929e-10, 9.029204062581393e-08, -6.628437302035522e-06, 0.0002828721151399552, -0.006738427488771471, 0.07615075309871157, -0.12471305699565832, -3.869502793786148, 55.701024344648175]",3,4,7,35.63852609158,64.8044963182321,4024.14048878017,48.3764985082047,-7.32452583644351,-11.1712348185228,0.942491058525533,-10.0981483540799,-9.44084763229409,-0.0813836204049279,-0.124124831316921,0.0104721228725059,-0.112201648378666,-0.10489830702549,12.9566437406246,12.6795852024857,9.57881744086774,6.61698723491301,20.3875440017999,0.143962708229162,0.140884280027619,0.10643130489853,0.0735220803879224,0.226528266686666,10,"Fun","Biography",135,"Dungeons and Dragons","NOUN"
134,"[-1.7283417604436752e-14, 9.360398067385752e-12, -2.1254529927956862e-09, 2.6505091427891264e-07, -1.9901792262683458e-05, 0.000924486582954822, -0.026139846019139146, 0.4207987959067893, -3.2570032157434197, 7.201979737983886]","[-1.7283417604436752e-15, 1.040044229709528e-12, -2.656816240994608e-10, 3.786441632555895e-08, -3.3169653771139097e-06, 0.00018489731659096438, -0.006534961504784787, 0.1402662653022631, -1.6285016078717098, 7.201979737983886, 44.42588844228289]",1,1,2,35.1612667667773,67.7051153083702,4156.73155841176,67.7051720743714,23.2792836320885,24.6940771742584,25.1772504321328,3.92185410797784,40.6585934680802,0.258658707023206,0.274378635269537,0.279747227023698,0.0435761567553093,0.451762149645336,-6.47672880106506,-6.0052768402993,-1.35284047251743,-6.7430705288139,-6.40099509239195,-0.0719636533451674,-0.0667252982255477,-0.0150315608057492,-0.07492300587571,-0.0711221676932439,20,"Tense","Drama",135,"Dungeons and Dragons","ADJ"
134,"[-1.152297257676602e-13, 5.428237252047239e-11, -1.0787428489897589e-08, 1.1770626392841984e-06, -7.683854478892472e-05, 0.0030609026361471795, -0.07239988049919571, 0.9293788018925345, -5.117392008255754, 4.1445465602254385]","[-1.152297257676602e-14, 6.031374724496932e-12, -1.3484285612371986e-09, 1.6815180561202833e-07, -1.2806424131487453e-05, 0.0006121805272294359, -0.018099970124798928, 0.3097929339641782, -2.558696004127877, 4.1445465602254385, 49.701161281134816]",3,2,5,7.49040740214097,19.472465550349,1416.44228277843,6.09379668833434,-43.6073645928005,-36.5305165259129,-16.7374951440575,-37.7717105969431,-45.038076946987,-0.484526273253339,-0.405894628065699,-0.185972168267306,-0.419685673299367,-0.500423077188745,-4.76771452693993,-5.89143213708645,-1.8514604720297,-4.10818268664521,-5.48023418361981,-0.0529746058548881,-0.0654603570787384,-0.0205717830225522,-0.0456464742960579,-0.060891490929109,10,"Predictable","Fantasy",135,"Dungeons and Dragons","ADJ"
134,"[-4.863629064763648e-13, 1.8809732326813942e-10, -3.0194355895372406e-08, 2.5996793644515155e-06, -0.00012928937647534622, 0.003706607445567155, -0.056628180847113144, 0.35252527475464324, 0.07762532931509598, -1.7935937000839672]","[-4.863629064763648e-14, 2.0899702585348825e-11, -3.774294486921551e-09, 3.7138276635021653e-07, -2.15482294125577e-05, 0.000741321489113431, -0.014157045211778286, 0.11750842491821442, 0.03881266465754799, -1.7935937000839672, 51.53300960201203]",3,3,6,-2.5829022834757,88.6835890181184,3278.53588107096,-6.11771038433035,-57.6507199863424,-74.1485671307228,-50.2451302089409,-21.8182697739871,-67.8363524707221,-0.640563555403804,-0.823872968119142,-0.558279224543788,-0.242425219710967,-0.75373724967469,-9.96408135605495,-12.1252953007806,-10.3614574078518,-2.09364428721684,-22.8582283636781,-0.110712015067277,-0.134725503342006,-0.115127304531687,-0.0232627143024093,-0.253980315151979,0,"Tense","Horror",135,"Dungeons and Dragons","ADJ"
134,"[-2.530789880824199e-13, 9.484678125166768e-11, -1.4675715729795437e-08, 1.2054280936768658e-06, -5.5940245262043635e-05, 0.0014165906994464614, -0.0158535335422135, -0.01316045805526786, 1.2675936695475818, -1.607494321598396]","[-2.530789880824199e-14, 1.0538531250185298e-11, -1.8344644662244296e-09, 1.722040133824094e-07, -9.323374210340605e-06, 0.0002833181398892923, -0.003963383385553375, -0.0043868193517559535, 0.6337968347737909, -1.607494321598396, 49.873298927807035]",3,3,6,79.9575093445333,90.5275713221388,7203.34708148828,52.9815134467967,3.10821451898971,-0.820128700856856,-24.1838538241114,28.0691219728486,-29.7312011481841,0.0345357168776635,-0.0091125411206317,-0.268709486934571,0.311879133031651,-0.330346679424267,-13.4953315926849,-14.329584310714,-14.5263098143592,-2.34285467649699,-28.764268275867,-0.14994812880761,-0.159217603452378,-0.161403442381769,-0.0260317186277443,-0.319602980842967,20,"Breathtaking","SciFi",135,"Dungeons and Dragons","NOUN"
135,"[8.278485486189899e-14, -3.405093984290404e-11, 5.889990920404663e-09, -5.546604994478506e-07, 3.0703754056774006e-05, -0.001003112789400861, 0.018272652412797637, -0.15882072014497917, 0.4217827559877611, 0.2966039908892994]","[8.278485486189898e-15, -3.783437760322671e-12, 7.362488650505828e-10, -7.92372142068358e-08, 5.117292342795668e-06, -0.0002006225578801722, 0.004568163103199409, -0.052940240048326384, 0.21089137799388055, 0.2966039908892994, 49.314589305585535]",2,2,4,47.5930864809617,77.7786677177996,5597.35470912465,80.9826665636655,31.66807725808,38.815876055031,22.9379696046627,16.6471269679372,39.8495442971185,0.351867525089777,0.431287511722567,0.254866328940697,0.184968077421525,0.442772714412427,2.17101161644364,2.78629294846205,2.03356184047083,0.680202680083727,4.08821260324118,0.0241223512938183,0.0309588105384672,0.022595131560787,0.0075578075564858,0.0454245844804575,80,"intense","Action",136,"Avatar: The Way of Water","ADJ"
135,"[6.463211857842891e-14, -2.743322672531322e-11, 4.91484117682292e-09, -4.823642435228346e-07, 2.8125440056052534e-05, -0.000986390920859896, 0.020031865528080214, -0.21243515642388258, 0.9072460233288876, 0.0582323306049369]","[6.4632118578428914e-15, -3.04813630281258e-12, 6.14355147102865e-10, -6.890917764611923e-08, 4.687573342675422e-06, -0.00019727818417197916, 0.005007966382020054, -0.07081171880796086, 0.4536230116644438, 0.0582323306049369, 49.456248320826525]",1,1,2,49.45625069671,81.3520221780154,6122.4001860448,81.352098372158,31.8958500513315,38.2460112469209,17.930107385536,21.9397051786283,41.503421187316,0.354398333903683,0.424955680521343,0.199223415394845,0.243774501984759,0.461149124303511,0.915246390905466,1.15213344503294,0.775094739063547,0.368963249568286,1.61699635056713,0.0101694043433941,0.0128014827225882,0.0086121637673727,0.0040995916618698,0.0179666261174125,81,"exciting","Adventure",136,"Avatar: The Way of Water","ADJ"
135,"[3.297439361563809e-13, -1.3470366168980152e-10, 2.303809912587281e-08, -2.138052147961414e-06, 0.00011668677762100422, -0.003797284516486442, 0.07147485281121178, -0.7187468186994639, 3.2251973944881995, -4.186600259880411]","[3.297439361563809e-14, -1.496707352108906e-11, 2.8797623907341014e-09, -3.0543602113734484e-07, 1.9447796270167372e-05, -0.0007594569032972884, 0.017868713202802946, -0.23958227289982129, 1.6125986972440998, -4.186600259880411, 52.392661057796246]",3,4,7,3.5450276675334,52.2501567975518,2004.86816118676,5.35637600558913,-47.0362850522071,-53.2903740096425,-22.5783433320901,-36.2170129831688,-47.3386215939811,-0.522625389468968,-0.592115266773806,-0.250870481467667,-0.402411255368543,-0.525984684377568,8.53284257227375,7.39013781009586,5.90282570297157,4.76322751237062,13.3243187136184,0.0948093619141528,0.0821126423343984,0.0655869522552397,0.0529247501374513,0.148047985706871,0,"childish","Animation",136,"Avatar: The Way of Water","ADJ"
135,"[7.635447568089747e-14, -3.216150796613344e-11, 5.749133474510245e-09, -5.66870591834909e-07, 3.347802229316959e-05, -0.0011996061636731607, 0.025072809675602416, -0.2747504574707606, 1.2792428408061436, -2.192357173138192]","[7.635447568089747e-15, -3.5735008851259377e-12, 7.186416843137807e-10, -8.098151311927272e-08, 5.5796703821949316e-06, -0.00023992123273463217, 0.006268202418900604, -0.09158348582358687, 0.6396214204030718, -2.192357173138192, 51.78718116474662]",1,2,3,35.7320777173486,61.6933282320753,4355.51519774786,62.8030189038868,11.0158377391402,11.7348734426276,15.8233058818382,-2.05350870791298,19.5874995709551,0.122398197101557,0.130387482695862,0.175814509798202,-0.0228167634212553,0.217638884121724,3.48477301625022,4.81314018111331,1.64501904460202,2.71094722571075,4.28450119077996,0.038719700180558,0.0534793353457035,0.0182779893844669,0.0301216358412305,0.047605568786444,53,"boring","Biography",136,"Avatar: The Way of Water","VERB"
