"X","first_derivative","equation","number_peaks","number_valleys","number_extrema","min","max","integral","end_value","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_sum_weight_end","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d1_avg_weight_end","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_sum_weight_end","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des","d2_avg_weight_end","willing","word","genre","subject","embeddings","interestingness","sentiment_score"
1,"[-1.8651143424212922e-14, 8.071299411580208e-12, -1.4936890478850598e-09, 1.5344563704985458e-07, -9.473935474416518e-06, 0.0003541985580454781, -0.007624136498074655, 0.08222400737521056, -0.3052026552719516, 0.20617384117029128]","[-1.8651143424212922e-15, 8.968110457311342e-13, -1.8671113098563247e-10, 2.192080529283637e-08, -1.5789892457360863e-06, 7.083971160909563e-05, -0.0019060341245186639, 0.02740800245840352, -0.1526013276359758, 0.20617384117029128, 50.700114246658885]",3,3,6,50.3462485144721,66.0925352043092,5306.09786478346,66.0925447476932,15.3924305010343,18.4346618762548,8.5726379269392,10.6679001993537,20.1120286051526,0.171027005567048,0.204829576402831,0.0952515325215467,0.118532224437264,0.223466984501696,-0.0425112177488316,-0.594586534669134,0.0130714655498676,-0.0662104877359071,0.13484730444306,-0.0004723468638759,-0.0066065170518792,0.0001452385061096,-0.0007356720859545,0.0014983033827006,61,"Compelling","Drama",2,0.0221087175604386,41,0.226
1,"[-1.965600192837425e-13, 7.753606313897777e-11, -1.2838098771866971e-08, 1.1653193423382865e-06, -6.369946725776057e-05, 0.002175501317746173, -0.04672813298331735, 0.6163776102483746, -4.565841990811627, 14.27723048763229]","[-1.965600192837425e-14, 8.615118126553087e-12, -1.6047623464833714e-09, 1.6647419176261234e-07, -1.0616577876293429e-05, 0.00043510026354923463, -0.011682033245829337, 0.20545920341612486, -2.2829209954058136, 14.27723048763229, 38.68925539469777]",3,2,5,74.6705413834797,84.851939940941,6508.31491640985,36.4742965547119,-2.21495883998591,-0.413482057432077,-32.8839139980427,30.1152154480603,-50.3739203159431,-0.0246106537776212,-0.0045942450825786,-0.365376822200474,0.334613504978448,-0.559710225732701,-15.2777207610674,-14.7670940376762,-4.45684765488773,-14.6403032964466,-15.9194612215418,-0.169752452900749,-0.164078822640847,-0.0495205294987526,-0.162670036627184,-0.176882902461575,41,"Uneasy","Fantasy",2,0.0248657641992203,31,-0.382
1,"[-9.740544680433367e-14, 4.0519482964044266e-11, -7.2322873594679304e-09, 7.285307223956592e-07, -4.5698774273750585e-05, 0.0018404512720285383, -0.04649729494116518, 0.6736784342059406, -4.628190011393765, 11.093432190995657]","[-9.740544680433367e-15, 4.502164773782696e-12, -9.040359199334913e-10, 1.0407581748509416e-07, -7.616462378958431e-06, 0.00036809025440570766, -0.011624323735291296, 0.22455947806864687, -2.3140950056968825, 11.093432190995657, 40.512648631832555]",4,3,7,84.3756069301499,98.3414934635673,7696.31247718762,97.4619442536782,56.9492956218456,82.1643880376868,20.5065541169807,50.6800654103263,60.4113091481878,0.63276995135384,0.912937644863186,0.227850601299785,0.563111837892515,0.671236768313198,-11.698811394172,-13.2020357911906,-3.9925487633624,-10.6309654793526,-13.3419382750254,-0.129986793268577,-0.146689286568785,-0.0443616529262489,-0.118121838659473,-0.148243758611393,100,"Diverse!","Horror",2,0.0290295628069006,26,0
1,"[-1.9070123849980134e-13, 8.064706804104231e-11, -1.4558607493797441e-08, 1.4659829622758262e-06, -9.02078796656418e-05, 0.0034843305559491542, -0.08296609752912765, 1.1307547371566051, -7.328649218559681, 12.716240833402066]","[-1.9070123849980136e-14, 8.96078533789359e-12, -1.8198259367246802e-09, 2.0942613746797517e-07, -1.50346466109403e-05, 0.0006968661111898309, -0.020741524382281912, 0.37691824571886834, -3.6643246092798405, 12.716240833402066, 41.18253053968455]",4,3,7,14.522584039247,25.9605071732481,2069.81942130049,14.7017718454648,-26.4807586942197,-19.6225000744955,-10.7376542051529,-22.3632941626218,-29.8847046817648,-0.294230652157997,-0.218027778605505,-0.119307268946143,-0.248481046251353,-0.332052274241831,-16.9461538636314,-17.1978230356272,-7.56320766566471,-13.6194846638745,-21.7058136794857,-0.188290598484793,-0.19108692261808,-0.0840356407296079,-0.151327607376383,-0.241175707549841,37,"Nostaglic","SciFi",2,0.0307505876960058,35,0
2,"[1.8959500013572266e-13, -5.3208900834411665e-11, 4.361506684231269e-09, 1.0232765077665016e-07, -3.776606307954169e-05, 0.002452362355203946, -0.07286475784841144, 1.0356868801636752, -6.229200169987963, 10.986949551571476]","[1.8959500013572267e-14, -5.9121000927124074e-12, 5.451883355289087e-10, 1.4618235825235738e-08, -6.294343846590281e-06, 0.0004904724710407892, -0.01821618946210286, 0.3452289600545584, -3.1146000849939814, 10.986949551571476, 70.28994410456191]",4,4,8,46.4262397050026,103.231733256941,7429.54771593684,107.967169365513,37.6772252609509,16.04867525246,29.9209624104551,17.1755691657335,50.148064244734,0.418635836232787,0.178318613916223,0.332455137893945,0.190839657397039,0.557200713830378,1.43395616149598,-3.33886200679304,9.36298757723467,-7.57054237536469,14.9818721682321,0.0159328462388443,-0.0370984667421448,0.104033195302607,-0.0841171375040521,0.16646524631369,100,"mind blowing","Action",3,0.0309219654010721,33,0
2,"[4.644867827276172e-13, -1.9943974165224144e-10, 3.618824579038416e-08, -3.6033437314774896e-06, 0.00021378446262386875, -0.007670662406938908, 0.16109735065071779, -1.812256979604264, 9.061727837694766, -12.377158208655066]","[4.644867827276172e-14, -2.215997129469349e-11, 4.52353072379802e-09, -5.147633902110699e-07, 3.5630743770644794e-05, -0.0015341324813877815, 0.040274337662679446, -0.604085659868088, 4.530863918847383, -12.377158208655066, 73.57149132895873]",4,5,9,95.5559633045885,101.626293683516,8047.77083838892,101.160219157224,27.5887278282653,49.0846027314404,16.2038482108923,18.2820615744393,30.8115137701628,0.306541420314059,0.545384474793782,0.180042757898803,0.20313401749377,0.342350153001809,16.9421979012549,20.3303817798726,7.45179146123106,13.7259559153375,21.621543229638,0.188246643347276,0.225893130887473,0.0827976829025673,0.152510621281528,0.240239369218199,89,"amazing","Adventure",3,0.0356082627301559,36,0.586
2,"[-2.241961959570429e-14, 1.3780576393995783e-11, -3.365973915581605e-09, 4.408343818782746e-07, -3.4391772135037545e-05, 0.001651027748552701, -0.048046858712290974, 0.7938553797536407, -6.425226366109005, 17.907803448214203]","[-2.241961959570429e-15, 1.5311751548884203e-12, -4.2074673944770063e-10, 6.297634026832495e-08, -5.731962022506257e-06, 0.0003302055497105402, -0.012011714678072744, 0.26461845991788024, -3.2126131830545024, 17.907803448214203, 61.59912155945786]",3,3,6,92.8440158569296,98.5911772996041,8332.26867180368,98.8424548400571,37.2433332805993,46.8140990747183,13.1459900805373,33.4081765202118,42.331565973185,0.413814814228881,0.520156656385759,0.146066556450414,0.371201961335687,0.470350733035389,-11.2279482375903,-11.5720442093999,2.037169070658,-16.0721043676459,-4.56523092954853,-0.12475498041767,-0.128578268993333,0.0226352118962,-0.178578937418288,-0.0507247881060948,84,"good","Animation",3,0.0390114018492982,25,0.44
2,"[2.283142775694586e-13, -9.227205811598784e-11, 1.564178981251375e-08, -1.4417826894199794e-06, 7.820376119773169e-05, -0.002514978001194181, 0.04554562723023777, -0.400803361013195, 1.0599274194645625, 2.2430849262218784]","[2.2831427756945863e-14, -1.0252450901776427e-11, 1.955223726564219e-09, -2.0596895563142564e-07, 1.3033960199621947e-05, -0.0005029956002388362, 0.011386406807559443, -0.13360112033773167, 0.5299637097322812, 2.2430849262218784, 57.360372605219254]",3,3,6,71.5795240710426,98.5128823429352,7970.34951794627,99.847843786786,42.4874711815668,56.847409302444,18.7126769967339,34.3966619802246,46.2154808572913,0.47208301312852,0.631637881138266,0.207918633297043,0.382185133113607,0.513505342858793,1.52974234148601,2.37033491816846,2.88849206064475,-0.976314133787229,5.55904679555607,0.0169971371276224,0.0263370546463162,0.0320943562293861,-0.0108479348198581,0.0617671866172897,81,"good","Biography",3,0.0409607195880897,31,0.44
2,"[1.522627979957607e-13, -6.06451277672316e-11, 1.0199657861274614e-08, -9.502376097556211e-07, 5.440330911591115e-05, -0.002020767725912039, 0.04986636504294211, -0.7869512668291738, 6.615105129054768, -16.369217885280364]","[1.5226279799576072e-14, -6.7383475296924e-12, 1.2749572326593267e-09, -1.3574822996508874e-07, 9.067218185985192e-06, -0.0004041535451824078, 0.012466591260735528, -0.26231708894305794, 3.307552564527384, -16.369217885280364, 63.055570026829706]",3,4,7,88.1150812851112,100.454052400028,7964.79653855004,100.852282716571,37.7967126897418,41.7703119092529,13.2287764690119,34.0171143931653,40.4419996795475,0.419963474330464,0.464114576769477,0.146986405211243,0.377967937701837,0.449355551994972,20.7500182376559,17.1948636350785,8.31643204243966,17.6210907546302,25.679273781385,0.230555758196177,0.191054040389761,0.0924048004715518,0.195789897273669,0.285325264237611,84,"like","Drama",3,0.0414510234154971,41,0.361
2,"[-1.156401754651948e-13, 5.024430243229649e-11, -9.015004201728364e-09, 8.688404214303291e-07, -4.9102634486408974e-05, 0.0016768153732708907, -0.03478090335387299, 0.43640374443997054, -3.2390127569794904, 12.276889128423274]","[-1.156401754651948e-14, 5.582700270255166e-12, -1.1268755252160455e-09, 1.2412006020433273e-07, -8.183772414401496e-06, 0.0003353630746541781, -0.008695225838468247, 0.14546791481332352, -1.6195063784897452, 12.276889128423274, 31.49884903896792]",2,2,4,78.2916638176809,95.1161827418274,7647.52012109907,98.4611713107878,66.9623222718199,71.9626096907503,25.0054114045678,58.6974914352071,81.7152521111168,0.744025803020221,0.799584552119448,0.277837904495197,0.652194349280078,0.907947245679075,-5.76947614335216,-5.37451829690376,3.1364294730284,-10.3482746522186,-0.797012594968521,-0.0641052904816907,-0.0597168699655973,0.0348492163669822,-0.114980829469096,-0.0088556954996502,81,"good","Fantasy",3,0.0448593550656725,31,0.44
