"word.subject","word.plot_names","word.question_type","word.score","word.sentiment_score"
5,"positive_change_partial","meaningfulness",70,-0.134920634920635
5,"negative_change_full","meaningfulness",59,-0.142063492063492
5,"negative_change_partial","meaningfulness",81,0.136904761904762
5,"linear_rise_sharp_fall","meaningfulness",41,-0.480952380952381
5,"linear_rise_sharp_fall_exp_rise","meaningfulness",53,0.0353174603174603
6,"linear_rise","meaningfulness",42,0.398809523809524
6,"linear_fall","meaningfulness",32,-0.411111111111111
6,"linear_low","meaningfulness",7,-0.582142857142857
6,"linear_middle","meaningfulness",42,0.0607142857142857
6,"linear_high","meaningfulness",37,0.487698412698413
6,"exp_rise_convex","meaningfulness",40,0.178174603174603
6,"exp_fall_convex","meaningfulness",35,-0.403571428571429
6,"exp_rise_concave","meaningfulness",47,0.461904761904762
6,"exp_fall_concave","meaningfulness",34,-0.157142857142857
6,"sin_fr_full","meaningfulness",45,0.0531746031746032
6,"sin_fr_partial","meaningfulness",39,0.293650793650794
6,"sin_rf_full","meaningfulness",39,0.0293650793650794
6,"sin_rf_partial","meaningfulness",41,-0.201190476190476
6,"sin_rfr_full","meaningfulness",26,-0.0690476190476191
6,"sin_rfr_partial","meaningfulness",49,-0.0702380952380952
6,"sin_frf_full","meaningfulness",41,-0.231349206349206
6,"sin_frf_partial","meaningfulness",31,-0.0992063492063492
6,"sin_frfr","meaningfulness",33,-0.185714285714286
6,"sin_rfrf","meaningfulness",39,-0.284126984126984
6,"logistic_rise","meaningfulness",41,0.266666666666667
6,"logistic_fall","meaningfulness",39,-0.434920634920635
6,"positive_change_full","meaningfulness",40,-0.00714285714285714
6,"positive_change_partial","meaningfulness",41,-0.134920634920635
6,"negative_change_full","meaningfulness",32,-0.142063492063492
6,"negative_change_partial","meaningfulness",48,0.136904761904762
6,"linear_rise_sharp_fall","meaningfulness",42,-0.480952380952381
6,"linear_rise_sharp_fall_exp_rise","meaningfulness",38,0.0353174603174603
7,"linear_rise","meaningfulness",82,0.398809523809524
7,"linear_fall","meaningfulness",6,-0.411111111111111
7,"linear_low","meaningfulness",5,-0.582142857142857
7,"linear_middle","meaningfulness",63,0.0607142857142857
7,"linear_high","meaningfulness",100,0.487698412698413
7,"exp_rise_convex","meaningfulness",87,0.178174603174603
